Petal,Rarity,Image,ID,Count,Stack,Damage,Health,Primary Respawn,Usage Respawn,DPS,Special Stat Name,Special Stat 1,Special Stat 2,Special Stat 3,Attack Action,Defend Action,Notes,Mob Drops,Modifiable Stats,Formulas,,,,,
,Mythic,,,1,,1215,1215,3,0.5,4998.418,,10,150,,,,,,,,,0,0,1,
,Ultra,,,1,,3645,3645,3,0.5,28770.084,,10,200,,,,,,,,,1,1.458,1.458,
,Super,,,1,,10935,10935,3,0.5,158712.802,,10,250,,,,,,,,,1,4.374,4.374,
,Unique,,,1,,32805,32805,3,0.5,660955.672,,10,300,,,,,,,,,1,13.122,13.122,
Wing,Common,,8,1,Yes,20,10,2.5,N/A,7.519,N/A,,,,Far to Extremely Far,Close,"Upon attacking, moves away from the flower before going back in, effectively increasing the petal's range.","Firefly
Fly
Moth
",,,,0,0,1,
,Unusual,,,1,,60,30,2.5,N/A,22.556,,,,,,,,,,,,0,0,1,
,Rare,,,1,,180,90,2.5,N/A,67.669,,,,,,,,,,,,0,0,1,
,Epic,,,1,,540,270,2.5,N/A,609.023,,,,,,,,,,,,0,0,1,
,Legendary,,,1,,1620,810,2.5,N/A,5481.203,,,,,,,,,,,,0,0,1,
,Mythic,,,1,,4860,2430,2.5,N/A,45676.692,,,,,,,,,,,,0,0,1,
,Ultra,,,1,,14580,7290,2.5,N/A,190617.288,,,,,,,,,,,,1,2.916,2.916,
,Super,,,1,,43740,21870,2.5,N/A,838528.927,,,,,,,,,,,,1,8.748,8.748,
,Unique,,,1,,131220,65610,2.5,N/A,2978599.571,,,,,,,,,,,,1,26.244,26.244,
Yggdrasil,Common,,30,1,Yes,0,10,320,0.5,0,Revive Heal,20%,N/A,,Far,Close,"Automatically revives any ally dead players nearby, putting them at the specified HP. Petal goes on respawn afterward.",Ladybug (Shiny),,,,0,0,1,
,Unusual,,,1,,0,30,160,0.5,0,,20%,,,,,,,,,,0,0,1,
,Rare,,,1,,0,90,80,0.5,0,,20%,,,,,,,,,,0,0,1,
,Epic,,,1,,0,270,40,0.5,0,,20%,,,,,,,,,,0,0,1,
,Legendary,,,1,,0,810,20,0.5,0,,20%,,,,,,,,,,0,0,1,
,Mythic,,,1,,0,2430,7.5,0.5,0,,20%,,,,,,,,,,0,0,1,
,Ultra,,,1,,0,7290,2.5,0.5,0,,20%,,,,,,,,,,1,2.916,2.916,
,Super,,,1,,0,21870,1,0.5,0,,20%,,,,,,,,,,1,8.748,8.748,
,Unique,,,1,,0,65610,0.5,0.5,0,,20%,,,,,,,,,,1,26.244,26.244,
Yin Yang,Common,,19,1,Yes,10,10,2,N/A,4.63,N/A,,,,Far,Close,"Changes petal rotation patterns based on the number equipped, attempting to group petals into separate circles around the user. A single Yin Yang will reverse petal rotation. Full Yin Yangs will cause all to form a wavy line.",Ladybug (Dark),,,,0,0,1,
,Unusual,,,1,,30,30,2,N/A,13.889,,,,,,,,,,,,0,0,1,
,Rare,,,1,,90,90,2,N/A,41.667,,,,,,,,,,,,0,0,1,
,Epic,,,1,,270,270,2,N/A,375,,,,,,,,,,,,0,0,1,
,Legendary,,,1,,810,810,2,N/A,3375,,,,,,,,,,,,0,0,1,
,Mythic,,,1,,2430,2430,2,N/A,28125,,,,,,,,,,,,0,0,1,
,Ultra,,,1,,7290,7290,2,N/A,104696.809,,,,,,,,,,,,1,2.916,2.916,
,Super,,,1,,21870,21870,2,N/A,438482.673,,,,,,,,,,,,1,8.748,8.748,
,Unique,,,1,,65610,65610,2,N/A,1515516.16,,,,,,,,,,,,1,26.244,26.244,
Yucca,Common,,28,1,Yes,5,10,2.5,N/A,1.88,Heal (/s),2,N/A,,Far,Close - Heals,Heals the user at a constant rate but only if the user is defending.,"Baby Fire Ant
Worker Fire Ant
Soldier Fire Ant",,2.25,,0,0,1,
,Unusual,,,1,,15,30,2.5,N/A,5.639,,7,,,,,,,,,,0,0,1,
,Rare,,,1,,45,90,2.5,N/A,16.917,,20,,,,,,,,,,0,0,1,
,Epic,,,1,,135,270,2.5,N/A,152.256,,61,,,,,,,,,,0,0,1,
,Legendary,,,1,,405,810,2.5,N/A,1370.301,,182,,,,,,,,,,0,0,1,
,Mythic,,,1,,1215,2430,2.5,N/A,11419.173,,547,,,,,,,,,,0,0,1,
,Ultra,,,1,,3645,7290,2.5,N/A,47654.322,,947,,,,,,,,,,1,2.916,2.916,
,Super,,,1,,10935,21870,2.5,N/A,209632.232,,1640,,,,,,,,,,1,8.748,8.748,
,Unique,,,1,,32805,65610,2.5,N/A,744649.893,,2841,,,,,,,,,,1,26.244,26.244,
